	SRR1927149	SRR1929485
PF00199 [Catalase]	776.333333333333	6010.33333333333
PF00202 [Aminotransferase class-III]	1411571.5	295762
PF00203 [Ribosomal protein S19]	273160	71341
PF00204 [DNA gyrase B]	948293.033333333	206659.366666667
PF00205 [Thiamine pyrophosphate enzyme, central domain]	429824.5	103161
PF00206 [Lyase]	1265820	335293
PF00207 [Alpha-2-macroglobulin family]	255117	49940
PF00208 [Glutamate/Leucine/Phenylalanine/Valine dehydrogenase]	511716	128842
PF00209 [Sodium:neurotransmitter symporter family]	1848843	269844
PF00210 [Ferritin-like domain]	89510	45648
PF00211 [Adenylate and Guanylate cyclase catalytic domain]	98149	26689
PF00213 [ATP synthase delta (OSCP) subunit]	350957	71600
PF00215 [Orotidine 5'-phosphate decarboxylase / HUMPS family]	347389	92486
PF00216 [Bacterial DNA-binding protein]	634819.5	131867
PF00217 [ATP:guanido phosphotransferase, C-terminal catalytic domain]	58305	23049
PF00218 [Indole-3-glycerol phosphate synthase]	280645	57685
PF00221 [Aromatic amino acid lyase]	242277	49724
PF00224 [Pyruvate kinase, barrel domain]	591373	111058
PF00226 [DnaJ domain]	408206.166666667	127405.5
PF00227 [Proteasome subunit]	72228	19832
PF00230 [Major intrinsic protein]	57453	35107
PF00231 [ATP synthase]	640457	141737
PF00232 [Glycosyl hydrolase family 1]	147594	103850.5
PF00237 [Ribosomal protein L22p/L17e]	352045	95313
PF00238 [Ribosomal protein L14p/L23e]	351029	94564
PF00239 [Resolvase, N terminal domain]	2869047.25	751828.166666667
PF00240 [Ubiquitin family]	21097.5	967
PF00245 [Alkaline phosphatase]	486433	50349
PF00246 [Zinc carboxypeptidase]	301194.5	13253
PF00248 [Aldo/keto reductase family]	1494690	303756
PF00251 [Glycosyl hydrolases family 32 N-terminal domain]	238459.666666667	83116
PF00252 [Ribosomal protein L16p/L10e]	388574	102152
PF00253 [Ribosomal protein S14p/S29e]	210942	50047
PF00254 [FKBP-type peptidyl-prolyl cis-trans isomerase]	668535.5	163223.5
PF00255 [Glutathione peroxidase]	60851	17052
PF00258 [Flavodoxin]	247369.5	65833
PF00263 [Bacterial type II and III secretion system protein]	938748.5	104534.5
PF00265 [Thymidine kinase]	173807	62096
PF00266 [Aminotransferase class-V]	2442743.5	471306
PF00267 [Gram-negative porin]	134365.5	32536.5
PF00268 [Ribonucleotide reductase, small chain]	39090	26082
PF00269 [Small, acid-soluble spore proteins, alpha/beta type]	32433	5739
PF00270 [DEAD/DEAH box helicase]	2869840.41190476	551973.383333333
PF00271 [Helicase conserved C-terminal domain]	4075803.8952381	763780.55
PF00275 [EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)]	1399662	282453
PF00276 [Ribosomal protein L23]	281674	60682
PF00278 [Pyridoxal-dependent decarboxylase, C-terminal sheet domain]	811252	123144.5
PF00281 [Ribosomal protein L5]	292191.5	65668
PF00282 [Pyridoxal-dependent decarboxylase conserved domain]	67652	33378
PF00285 [Citrate synthase, C-terminal domain]	765285	106102
PF00288 [GHMP kinases N terminal domain]	378033.833333333	52724.6666666667
PF00289 [Biotin carboxylase, N-terminal domain]	176857.666666667	20315.0833333333
PF00290 [Tryptophan synthase alpha chain]	337977	65142
PF00291 [Pyridoxal-phosphate dependent enzyme]	2649636.5	476067
PF00293 [NUDIX domain]	1401317.16666667	282670
PF00294 [pfkB family carbohydrate kinase]	1883425.33333333	483406.5
PF00295 [Glycosyl hydrolases family 28]	912678.333333333	220703.166666667
PF00296 [Luciferase-like monooxygenase]	6130	15891
PF00297 [Ribosomal protein L3]	305701	115343
PF00298 [Ribosomal protein L11, RNA binding domain]	202981	47038
PF00300 [Histidine phosphatase superfamily (branch 1)]	579755	122364
PF00301 [Rubredoxin]	58859	20998
PF00302 [Chloramphenicol acetyltransferase]	65537	10256
PF00303 [Thymidylate synthase]	413150	74876
PF00306 [ATP synthase alpha/beta chain, C terminal domain]	444391.5	82667.5
PF00308 [Bacterial dnaA  protein]	663801.166666667	128984
PF00309 [Sigma-54 factor, Activator interacting domain (AID) ]	215776.833333333	21902.5
PF00310 [Glutamine amidotransferases class-II]	656708	118915.166666667
PF00311 [Phosphoenolpyruvate carboxylase]	1725	20605
PF00312 [Ribosomal protein S15]	196968	44510
PF00313 ['Cold-shock' DNA-binding domain]	73500	21020
PF00316 [Fructose-1-6-bisphosphatase, N-terminal domain]	1494	5614.5
PF00317 [Ribonucleotide reductase, all-alpha domain]	12041.1666666667	10451.1666666667
PF00318 [Ribosomal protein S2]	673415	178658
PF00324 [Amino acid permease]	149657.5	161046
PF00325 [Bacterial regulatory proteins, crp family]	325	2224.33333333333
PF00326 [Prolyl oligopeptidase family]	1234782.5	295532.5
PF00327 [Ribosomal protein L30p/L7e]	175693	33317
PF00328 [Histidine phosphatase superfamily (branch 2)]	10051.5	41814
PF00329 [Respiratory-chain NADH dehydrogenase, 30 Kd subunit]	116442.333333333	36693.8333333333
PF00330 [Aconitase family (aconitate hydratase)]	1450587.16666667	307555.166666667
PF00331 [Glycosyl hydrolase family 10]	452580	86478.5
PF00333 [Ribosomal protein S5, N-terminal domain]	240104	66705
PF00334 [Nucleoside diphosphate kinase]	134695	22994
PF00338 [Ribosomal protein S10p/S20e]	278394	69930
PF00342 [Phosphoglucose isomerase]	1005946	124413
PF00343 [Carbohydrate phosphorylase]	1602804.58333333	278771.833333333
PF00344 [SecY translocase]	1284289	256376
PF00345 [Pili and flagellar-assembly chaperone, PapD N-terminal domain]	7797.5	40623
PF00346 [Respiratory-chain NADH dehydrogenase, 49 Kd subunit]	157844.333333333	63713.8333333333
PF00347 [Ribosomal protein L6]	505981	126780
PF00348 [Polyprenyl synthetase]	995427	178776.5
PF00349 [Hexokinase]	27411.5	7880
PF00350 [Dynamin family]	226679.666666667	53910.35
PF00352 [Transcription factor TFIID (or TATA-binding protein, TBP)]	1327	113
PF00353 [Haemolysin-type calcium-binding repeat (2 copies)]	54437	5174
PF00355 [Rieske [2Fe-2S] domain]	1698	14538
PF00356 [Bacterial regulatory proteins, lacI family]	561852	140857.083333333
PF00358 [phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1]	229377.583333333	57521.5666666667
PF00359 [Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2]	413928	117749.833333333
PF00361 [Proton-conducting membrane transporter]	735812.5	305442.5
PF00364 [Biotin-requiring enzyme]	326611.5	69730.5
PF00365 [Phosphofructokinase]	1122033	275602
PF00366 [Ribosomal protein S17]	283600	75965
PF00367 [phosphotransferase system, EIIB]	68336.1666666667	92329
PF00370 [FGGY family of carbohydrate kinases, N-terminal domain]	795163.333333333	252233.5
PF00374 [Nickel-dependent hydrogenase]	11366.3333333333	39628.3333333333
PF00375 [Sodium:dicarboxylate symporter family]	1492811.5	265283
PF00376 [MerR family regulatory protein]	58444.8333333333	25083.3333333333
PF00378 [Enoyl-CoA hydratase/isomerase]	219415	56949
PF00380 [Ribosomal protein S9/S16]	340717	88146
PF00381 [PTS HPr component phosphorylation site]	234452.833333333	58294.5666666667
PF00383 [Cytidine and deoxycytidylate deaminase zinc-binding region]	662290	130993.166666667
PF00384 [Molybdopterin oxidoreductase]	33180.6666666667	116484.833333333
PF00389 [D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain]	659500.333333333	127446
PF00390 [Malic enzyme, N-terminal domain]	365784.833333333	46194.3333333333
PF00391 [PEP-utilising enzyme, mobile domain]	809556.95	181333.366666667
PF00392 [Bacterial regulatory proteins, gntR family]	500550	179606.166666667
PF00393 [6-phosphogluconate dehydrogenase, C-terminal domain]	20916	8668.5
PF00394 [Multicopper oxidase]	189	357
PF00395 [S-layer homology domain]	185408.5	146924.5
PF00398 [Ribosomal RNA adenine dimethylase]	507887	107704
PF00400 [WD domain, G-beta repeat]	0	859.5
PF00401 [ATP synthase, Delta/Epsilon chain, long alpha-helix domain]	18019.5	12076
PF00403 [Heavy-metal-associated domain]	335311.166666667	102674.166666667
PF00404 [Dockerin type I repeat]	99215.7	26386
PF00406 [Adenylate kinase]	182160.666666667	47088
PF00408 [Phosphoglucomutase/phosphomannomutase, C-terminal domain]	140715.25	21861.5
PF00410 [Ribosomal protein S8]	391832	98183
PF00411 [Ribosomal protein S11]	388612.5	100514
PF00415 [Regulator of chromosome condensation (RCC1) repeat]	40897.6	4197
PF00416 [Ribosomal protein S13/S18]	350470.5	99119
PF00419 [Fimbrial protein]	16223	101018
PF00420 [NADH-ubiquinone/plastoquinone oxidoreductase chain 4L]	64135	22224
PF00425 [chorismate binding enzyme]	977259	129557
PF00430 [ATP synthase B/B' CF(0)]	284801	52770
PF00436 [Single-strand binding protein family]	744658	162775
PF00437 [Type II/IV secretion system protein]	2376512	230887
PF00438 [S-adenosylmethionine synthetase, N-terminal domain]	298217.833333333	76622.5
PF00440 [Bacterial regulatory proteins, tetR family]	847538	183790.5
PF00441 [Acyl-CoA dehydrogenase, C-terminal domain]	111352.916666667	55133.75
PF00444 [Ribosomal protein L36]	57909	16686
PF00445 [Ribonuclease T2 family]	671	6565
PF00448 [SRP54-type protein, GTPase domain]	1475547.5	173627.666666667
PF00449 [Urease alpha-subunit, N-terminal domain]	169017.333333333	3350.66666666667
PF00453 [Ribosomal protein L20]	309756	78818
PF00455 [DeoR C terminal sensor domain]	195692.5	77779.5
PF00456 [Transketolase, thiamine diphosphate binding domain]	658325.166666667	160881.5
PF00459 [Inositol monophosphatase family]	251925	32639
PF00460 [Flagella basal body rod protein]	54832.1666666667	16192.1666666667
PF00462 [Glutaredoxin]	14001	9818.66666666667
PF00463 [Isocitrate lyase family]	13156	12722.5
PF00464 [Serine hydroxymethyltransferase]	773584	171261
PF00465 [Iron-containing alcohol dehydrogenase ]	870555.166666667	229920.166666667
PF00466 [Ribosomal protein L10]	517707	110446
PF00468 [Ribosomal protein L34]	76945	16434
PF00471 [Ribosomal protein L33]	132359	35231
PF00472 [RF-1 domain]	719075.5	204895
PF00474 [Sodium:solute symporter family]	1612655	346932
PF00475 [Imidazoleglycerol-phosphate dehydratase]	446652.5	62822.5
PF00476 [DNA polymerase family A]	1531225.16666667	277770.333333333
PF00478 [IMP dehydrogenase / GMP reductase domain]	641827.166666667	171115.166666667
PF00479 [Glucose-6-phosphate dehydrogenase, NAD binding domain]	1889	6363.5
PF00480 [ROK family]	1082739	297828
PF00481 [Protein phosphatase 2C]	55329	12990.5
PF00482 [Type II secretion system (T2SS), protein F]	1306223	142928
PF00483 [Nucleotidyl transferase]	3179682.83333333	548027.583333333
PF00484 [Carbonic anhydrase]	71142	21595
PF00485 [Phosphoribulokinase / Uridine kinase family]	676338	200605
PF00486 [Transcriptional regulatory protein, C terminal]	1442437.5	432708
PF00488 [MutS domain V]	961201.683333333	243858.683333333
PF00490 [Delta-aminolevulinic acid dehydratase]	49131	43063
PF00491 [Arginase family]	138364	35688
PF00493 [MCM2/3/5 family]	4217.16666666667	230.5
PF00494 [Squalene/phytoene synthase]	346353	19584
PF00496 [Bacterial extracellular solute-binding proteins, family 5 Middle]	1710545	367752
PF00497 [Bacterial extracellular solute-binding proteins, family 3]	1303518.75	338685.416666667
PF00498 [FHA domain]	181047.333333333	38616.5
PF00499 [NADH-ubiquinone/plastoquinone oxidoreductase chain 6]	87179	25437
PF00501 [AMP-binding enzyme]	3324486.08333333	781931
PF00507 [NADH-ubiquinone/plastoquinone oxidoreductase, chain 3]	46093	15558
PF00510 [Cytochrome c oxidase subunit III]	1537	7116
PF00512 [His Kinase A (phospho-acceptor) domain]	2300212.86666667	572766.658333333
PF00515 [Tetratricopeptide repeat]	403410.120160885	126821.962009069
PF00520 [Ion transport protein]	160596.666666667	2775.16666666667
PF00521 [DNA gyrase/topoisomerase IV, subunit A]	2453729.33333333	539907.833333333
PF00528 [Binding-protein-dependent transport system inner membrane component]	6874420.5	1191835.83333333
PF00529 [HlyD membrane-fusion protein of T1SS]	5962.75	41159.75
PF00532 [Periplasmic binding proteins and sugar binding domain of LacI family]	715971.833333333	165856.083333333
PF00533 [BRCA1 C Terminus (BRCT) domain]	113505.316666667	37410.05
PF00534 [Glycosyl transferases group 1]	1579551.31666667	359410.683333333
PF00535 [Glycosyl transferase family 2]	3774482.74761905	1001034.98333333
PF00542 [Ribosomal protein L7/L12 C-terminal domain]	200919	51820.5
PF00543 [Nitrogen regulatory protein P-II]	401542	67996.5
PF00544 [Pectate lyase]	132579	92449
PF00545 [ribonuclease]	21746	3065
PF00547 [Urease, gamma subunit]	59885	1297
PF00549 [CoA-ligase]	251452.333333333	27298.1666666667
PF00550 [Phosphopantetheine attachment site]	263145.266666667	54399.8
PF00551 [Formyl transferase]	663391.833333333	132016.5
PF00553 [Cellulose binding domain]	60525	1620
PF00557 [Metallopeptidase family M24]	1247285.08333333	281990.916666667
PF00560 [Leucine Rich Repeat]	851.8	484.6
PF00561 [alpha/beta hydrolase fold]	454628.166666667	55727
PF00562 [RNA polymerase Rpb2, domain 6]	751265.15	240666.05
PF00563 [EAL domain]	2873874.75	295811.833333333
PF00565 [Staphylococcal nuclease homologue]	22341	3051
PF00570 [HRDC domain]	179916.383333333	62014.3333333333
PF00571 [CBS domain]	1210547	204628.916666667
PF00572 [Ribosomal protein L13]	389993	91255
PF00573 [Ribosomal protein L4/L1 family]	511050	133043
PF00574 [Clp protease]	866307	140430
PF00575 [S1 RNA binding domain]	2056549.36666667	412958.883333333
PF00576 [HIUase/Transthyretin family]	829	1435
PF00577 [Outer membrane usher protein]	18440.1666666667	95793.3333333333
PF00578 [AhpC/TSA family]	593609.416666667	122510.083333333
PF00579 [tRNA synthetases class I (W and Y)]	1482887	353043
PF00580 [UvrD/REP helicase N-terminal domain]	1984004.56190476	321687.016666667
PF00581 [Rhodanese-like domain]	165602.666666667	58197.5
PF00582 [Universal stress protein family]	338727	43990
PF00583 [Acetyltransferase (GNAT) family]	905711.25	111628.583333333
PF00584 [SecE/Sec61-gamma subunits of protein translocation complex]	277401	40451
PF00585 [C-terminal regulatory domain of Threonine dehydratase]	239435	4814.5
PF00586 [AIR synthase related protein, N-terminal domain]	677359	101711.5
PF00587 [tRNA synthetase class II core domain (G, H, P, S and T)]	1587072.16666667	366996.25
PF00588 [SpoU rRNA Methylase family]	1038073	209720
PF00589 [Phage integrase family]	5157312.16666667	1147829.66666667
PF00590 [Tetrapyrrole (Corrin/Porphyrin) Methylases]	646622	205059.166666667
PF00591 [Glycosyl transferase family, a/b domain]	294317.25	75303.1666666667
PF00593 [TonB dependent receptor]	8248965.91666667	2607828.25
PF00595 [PDZ domain (Also known as DHR or GLGF)]	196170.083333333	24139.0666666667
PF00596 [Class II Aldolase and Adducin N-terminal domain]	539079	148961
PF00614 [Phospholipase D Active site motif]	110344.666666667	35101
PF00623 [RNA polymerase Rpb1, domain 2]	546598.55	131617.683333333
PF00625 [Guanylate kinase]	414259	85638
PF00633 [Helix-hairpin-helix motif]	4153	4054
PF00636 [Ribonuclease III domain]	239154	50986.5
PF00639 [PPIC-type PPIASE domain]	458921.466666667	71622.1166666667
PF00644 [Poly(ADP-ribose) polymerase catalytic domain]	0	965
PF00648 [Calpain family cysteine protease]	6743	884
PF00652 [Ricin-type beta-trefoil lectin domain]	11318.8	5130.23333333333
PF00654 [Voltage gated chloride channel]	503166.5	140512.5
PF00656 [Caspase domain]	308760	85697
PF00657 [GDSL-like Lipase/Acylhydrolase]	48225.6666666667	10856.8333333333
PF00662 [NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus]	130551.5	28152.5
PF00664 [ABC transporter transmembrane region]	2830936.33333333	591238.833333333
PF00665 [Integrase core domain]	4039482.58333333	462064.916666667
PF00667 [FAD binding domain]	572	3515
PF00668 [Condensation domain]	60412	26575.5
PF00669 [Bacterial flagellin N-terminal helical region]	1314935.5	104752.5
PF00670 [S-adenosyl-L-homocysteine hydrolase, NAD binding domain]	79801	18678.5
PF00672 [HAMP domain]	101569.166666667	57012.8333333333
PF00673 [ribosomal L5P family C-terminus]	301741.5	68743
PF00675 [Insulinase (Peptidase family M16)]	624988.333333333	191303
PF00676 [Dehydrogenase E1 component]	45448.3333333333	18544.5
PF00677 [Lumazine binding domain]	330735	57517
PF00679 [Elongation factor G C-terminus]	1991555.65	475404.516666667
PF00682 [HMGL-like]	989730.166666667	226760
PF00684 [DnaJ central domain]	185268.166666667	42706
PF00686 [Starch binding domain]	162959.166666667	47675.3333333333
PF00687 [Ribosomal protein L1p/L10e family]	684198	146798
PF00689 [Cation transporting ATPase, C-terminus]	356829.416666667	76682.25
PF00690 [Cation transporter/ATPase, N-terminus]	202624.25	31562
PF00691 [OmpA family]	1595049.5	331717.416666667
PF00692 [dUTPase]	476078	78863
PF00694 [Aconitase C-terminal domain]	415393.5	87597.5
PF00696 [Amino acid kinase family]	2595906.01666667	440525.383333333
PF00697 [N-(5'phosphoribosyl)anthranilate (PRA) isomerase]	256367.5	37988.5
PF00698 [Acyl transferase domain]	508247	96708
PF00699 [Urease beta subunit]	79408	1878
PF00700 [Bacterial flagellin C-terminal helical region]	800146	85343
PF00701 [Dihydrodipicolinate synthetase family]	724440	147942
PF00702 [haloacid dehalogenase-like hydrolase]	2097162.16666667	418373
PF00703 [Glycosyl hydrolases family 2]	380950.75	118198.183333333
PF00704 [Glycosyl hydrolases family 18]	120243	47569.5
PF00707 [Translation initiation factor IF-3, C-terminal domain]	226080	60271
PF00708 [Acylphosphatase]	11488.25	9280.75
PF00709 [Adenylosuccinate synthetase]	921282	227302
PF00710 [Asparaginase, N-terminal]	203845.166666667	54902.1666666667
PF00712 [DNA polymerase III beta subunit, N-terminal domain]	314627	56096.6666666667
PF00717 [Peptidase S24-like]	380700.5	87949.5
PF00719 [Inorganic pyrophosphatase]	79798	37921
PF00722 [Glycosyl hydrolases family 16]	1062421	68568
PF00724 [NADH:flavin oxidoreductase / NADH oxidase family]	90008.8333333333	55831.3333333333
PF00725 [3-hydroxyacyl-CoA dehydrogenase, C-terminal domain]	54387	28154.5
PF00728 [Glycosyl hydrolase family 20, catalytic domain]	916598.5	201410.25
PF00730 [HhH-GPD superfamily base excision DNA repair protein]	516633.5	110680
PF00731 [AIR carboxylase]	336520	83867
PF00732 [GMC oxidoreductase]	335	5959
PF00733 [Asparagine synthase]	359548.083333333	87188.8333333333
PF00742 [Homoserine dehydrogenase]	352238.516666667	78948.7166666667
PF00745 [Glutamyl-tRNAGlu reductase, dimerisation domain]	15134.8333333333	10292.8333333333
PF00749 [tRNA synthetases class I (E and Q), catalytic domain]	1361199	312636.5
PF00750 [tRNA synthetases class I (R)]	510070.166666667	131612
PF00753 [Metallo-beta-lactamase superfamily]	816971.166666667	232320.333333333
PF00754 [F5/8 type C domain]	395383.166666667	61961.3333333333
PF00756 [Putative esterase]	290956	171395.25
PF00759 [Glycosyl hydrolase family 9]	219263.833333333	76536.5
PF00762 [Ferrochelatase]	2107	7788
PF00763 [Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain]	308829.75	54566
PF00764 [Arginosuccinate synthase]	877913	190770
PF00766 [Electron transfer flavoprotein FAD-binding domain]	140050.666666667	63705.5
PF00768 [D-alanyl-D-alanine carboxypeptidase]	671983.666666667	207747.333333333
PF00771 [FHIPEP family]	733646	79047.5
PF00772 [DnaB-like helicase N terminal domain]	396116.166666667	102112.666666667
PF00773 [RNB domain]	1742306.58333333	166426.666666667
PF00781 [Diacylglycerol kinase catalytic domain]	320118.5	91731
PF00782 [Dual specificity phosphatase, catalytic domain]	984	5683
PF00793 [DAHP synthetase I family]	879598	177256.333333333
PF00795 [Carbon-nitrogen hydrolase]	1393948.5	222856.833333333
PF00797 [N-acetyltransferase]	14667	7227
PF00800 [Prephenate dehydratase]	365857.333333333	84435.3333333333
PF00801 [PKD domain]	2463180.83333333	18441.6666666667
PF00805 [Pentapeptide repeats (8 copies)]	73747.3333333333	17137.3333333333
PF00809 [Pterin binding enzyme]	792638.683333333	151925.633333333
PF00813 [FliP family]	269933	34181
PF00814 [Glycoprotease family]	995416	203870
PF00815 [Histidinol dehydrogenase]	613369	113928.5
PF00816 [H-NS histone family]	89579	8987
PF00817 [impB/mucB/samB family]	626458.833333333	122849
PF00821 [Phosphoenolpyruvate carboxykinase C-terminal P-loop domain]	125542	34530
PF00825 [Ribonuclease P]	261063	48147
PF00827 [Ribosomal L15]	852	394
PF00828 [Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A]	421769	93478
PF00829 [Ribosomal prokaryotic L21 protein]	257240	63108
PF00830 [Ribosomal L28 family]	153169	30444
PF00831 [Ribosomal L29 protein]	200340	53041
PF00833 [Ribosomal S17]	365	318
PF00834 [Ribulose-phosphate 3 epimerase family]	465400	121682
PF00842 [Alanine racemase, C-terminal domain]	438832.5	92388.8333333333
PF00848 [Ring hydroxylating alpha subunit (catalytic domain)]	1487	11782
PF00849 [RNA pseudouridylate synthase]	2513571	486501.5
PF00850 [Histone deacetylase domain]	8527	2277
PF00854 [POT family]	240206.5	107696.5
PF00857 [Isochorismatase family]	180313	63297
PF00860 [Permease family]	1999051	473262
PF00861 [Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast]	334117	88609
PF00866 [Ring hydroxylating beta subunit]	492	4838
PF00871 [Acetokinase family]	1053509	236746
PF00872 [Transposase, Mutator family]	1231651.5	207015.5
PF00873 [AcrB/AcrD/AcrF family]	4231591	1255208.5
PF00874 [PRD domain]	31776.3333333333	32485
PF00875 [DNA photolyase]	425.5	4003
